title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Jodaeiye Nader az Simin,2h 3min,"Drama,Mystery",Asghar Farhadi,,"Payman Maadi,Leila Hatami,Sareh Bayat",8.4,"171,432"
Rashômon,1h 28min,"Crime,Drama,Mystery",Akira Kurosawa,"Ryûnosuke Akutagawa,Akira Kurosawa","Toshirô Mifune,Machiko Kyô,Masayuki Mori",8.3,"115,453"
Indiana Jones and the Last Crusade,2h 7min,"Action,Adventure,Fantasy",Steven Spielberg,"Jeffrey Boam,George Lucas","Harrison Ford,Sean Connery,Alison Doody",8.3,"569,506"
All About Eve,2h 18min,Drama,Joseph L. Mankiewicz,,"Bette Davis,Anne Baxter,George Sanders",8.3,"92,855"
Yôjinbô,1h 50min,"Action,Drama,Thriller",Akira Kurosawa,"Akira Kurosawa,Akira Kurosawa","Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",8.3,"82,878"
Babam ve Oglum,1h 48min,Drama,Çagan Irmak,,"Resit Kurt,Fikret Kuskan,Çetin Tekindor",8.5,"50,592"
Up,1h 36min,"Animation,Adventure,Comedy",,"Pete Docter,Bob Peterson","Edward Asner,Jordan Nagai,John Ratzenberger",8.3,"747,656"
Batman Begins,2h 32min,"Action,Adventure,Thriller",Christopher Nolan,"Bob Kane,David S. Goyer","Christian Bale,Michael Caine,Ken Watanabe",8.3,"1,080,951"
Some Like It Hot,2h 1min,"Comedy,Romance",Billy Wilder,"Billy Wilder,I.A.L. Diamond","Marilyn Monroe,Tony Curtis,Jack Lemmon",8.3,"194,262"
The Treasure of the Sierra Madre,2h 6min,"Adventure,Drama,Western",John Huston,"John Huston,B. Traven","Humphrey Bogart,Walter Huston,Tim Holt",8.3,"88,058"
Unforgiven,2h 10min,"Drama,Western",Clint Eastwood,,"Clint Eastwood,Gene Hackman,Morgan Freeman",8.2,"306,034"
Der Untergang,2h 36min,"Biography,Drama,History",Oliver Hirschbiegel,"Bernd Eichinger,Joachim Fest","Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",8.2,"273,697"
Die Hard,2h 11min,"Action,Thriller",John McTiernan,"Roderick Thorp,Jeb Stuart","Bruce Willis,Alan Rickman,Bonnie Bedelia",8.2,"650,145"
Raging Bull,2h 9min,"Biography,Drama,Sport",Martin Scorsese,"Jake LaMotta,Joseph Carter","Robert De Niro,Cathy Moriarty,Joe Pesci",8.2,"258,067"
Heat,2h 50min,"Action,Crime,Drama",Michael Mann,,"Al Pacino,Robert De Niro,Val Kilmer",8.2,"472,504"
The Third Man,1h 44min,"Film-Noir,Mystery,Thriller",Carol Reed,"Graham Greene,Graham Greene","Orson Welles,Joseph Cotten,Alida Valli",8.3,"126,437"
Bacheha-Ye aseman,1h 29min,"Drama,Family",Majid Majidi,,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",8.4,"38,115"
The Great Escape,2h 52min,"Adventure,Drama,History",John Sturges,"Paul Brickhill,James Clavell","Steve McQueen,James Garner,Richard Attenborough",8.2,"182,632"
Ikiru,2h 23min,Drama,Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto","Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",8.3,"48,037"
Chinatown,2h 10min,"Drama,Mystery,Thriller",Roman Polanski,,"Jack Nicholson,Faye Dunaway,John Huston",8.2,"238,544"
Pan's Labyrinth,1h 58min,"Drama,Fantasy,War",Guillermo del Toro,,"Ivana Baquero,Ariadna Gil,Sergi López",8.2,"514,509"
Tonari no Totoro,1h 26min,"Animation,Family,Fantasy",Hayao Miyazaki,,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",8.2,"201,611"
Incendies,2h 11min,"Drama,Mystery,War",Denis Villeneuve,"Denis Villeneuve,Wajdi Mouawad","Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",8.2,"99,455"
Ran,2h 42min,"Action,Drama",Akira Kurosawa,"Akira Kurosawa,Hideo Oguni","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",8.2,"86,188"
The Gold Rush,1h 35min,"Adventure,Comedy,Drama",Charles Chaplin,,"Charles Chaplin,Mack Swain,Tom Murray",8.2,"76,498"
Oordeel te Neurenberg,3h 6min,"Drama,War",Stanley Kramer,"Abby Mann,Abby Mann","Spencer Tracy,Burt Lancaster,Richard Widmark",8.3,"51,128"
El secreto de sus ojos,2h 9min,"Drama,Mystery,Romance",Juan José Campanella,"Eduardo Sacheri,Juan José Campanella","Ricardo Darín,Soledad Villamil,Pablo Rago",8.2,"150,782"
Inside Out,1h 35min,"Animation,Adventure,Comedy",,"Pete Docter,Ronnie Del Carmen","Amy Poehler,Bill Hader,Lewis Black",8.2,"443,988"
On the Waterfront,1h 48min,"Crime,Drama,Thriller",Elia Kazan,"Budd Schulberg,Budd Schulberg","Marlon Brando,Karl Malden,Lee J. Cobb",8.2,"112,319"
Hauru no ugoku shiro,1h 59min,"Animation,Adventure,Family",Hayao Miyazaki,"Hayao Miyazaki,Diana Wynne Jones","Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",8.2,"244,122"
The Bridge on the River Kwai,2h 41min,"Adventure,Drama,War",David Lean,"Pierre Boulle,Carl Foreman","William Holden,Alec Guinness,Jack Hawkins",8.2,"165,174"
Room,1h 58min,Drama,Lenny Abrahamson,"Emma Donoghue,Emma Donoghue","Brie Larson,Jacob Tremblay,Sean Bridgers",8.2,"244,854"
Det sjunde inseglet,1h 36min,"Drama,Fantasy",Ingmar Bergman,"Ingmar Bergman,Ingmar Bergman","Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",8.2,"124,663"
"Lock, Stock and Two Smoking Barrels",1h 47min,"Comedy,Crime",Guy Ritchie,,"Jason Flemyng,Dexter Fletcher,Nick Moran",8.2,"452,234"
Mr. Smith Goes to Washington,2h 9min,"Comedy,Drama",Frank Capra,"Sidney Buchman,Lewis R. Foster","James Stewart,Jean Arthur,Claude Rains",8.2,"85,132"
Blade Runner,1h 57min,"Sci-Fi,Thriller",Ridley Scott,"Hampton Fancher,David Webb Peoples","Harrison Ford,Rutger Hauer,Sean Young",8.2,"539,806"
Casino,2h 58min,"Crime,Drama",Martin Scorsese,"Nicholas Pileggi,Nicholas Pileggi","Robert De Niro,Sharon Stone,Joe Pesci",8.2,"369,581"
A Beautiful Mind,2h 15min,"Biography,Drama",Ron Howard,"Akiva Goldsman,Sylvia Nasar","Russell Crowe,Ed Harris,Jennifer Connelly",8.2,"685,542"
The Elephant Man,2h 4min,"Biography,Drama",David Lynch,"Christopher De Vore,Eric Bergren","Anthony Hopkins,John Hurt,Anne Bancroft",8.2,"179,212"
Smultronstället,1h 31min,"Drama,Romance",Ingmar Bergman,,"Victor Sjöström,Bibi Andersson,Ingrid Thulin",8.2,"70,733"
V for Vendetta,2h 12min,"Action,Drama,Thriller",James McTeigue,"Lilly Wachowski,Lana Wachowski","Hugo Weaving,Natalie Portman,Rupert Graves",8.2,"871,340"
The Wolf of Wall Street,3h,"Biography,Comedy,Crime",Martin Scorsese,"Terence Winter,Jordan Belfort","Leonardo DiCaprio,Jonah Hill,Margot Robbie",8.2,"901,790"
The General,1h 7min,"Action,Adventure,Comedy",,"Buster Keaton,Clyde Bruckman","Buster Keaton,Marion Mack,Glen Cavender",8.2,"60,160"
Warrior,2h 20min,"Drama,Sport",Gavin O'Connor,"Gavin O'Connor,Anthony Tambakis","Tom Hardy,Nick Nolte,Joel Edgerton",8.2,"367,014"
Trainspotting,1h 34min,Drama,Danny Boyle,"John Hodge,Irvine Welsh","Ewan McGregor,Ewen Bremner,Jonny Lee Miller",8.2,"533,840"
Dial M for Murder,1h 45min,"Crime,Film-Noir,Thriller",Alfred Hitchcock,"Frederick Knott,Frederick Knott","Ray Milland,Grace Kelly,Robert Cummings",8.2,"120,891"
Gran Torino,1h 56min,Drama,Clint Eastwood,"Nick Schenk,Dave Johannson","Clint Eastwood,Bee Vang,Christopher Carley",8.2,"612,491"
Sunrise: A Song of Two Humans,1h 34min,"Drama,Romance",F.W. Murnau,"Carl Mayer,Hermann Sudermann","George O'Brien,Janet Gaynor,Margaret Livingston",8.2,"34,109"
Gone with the Wind,3h 58min,"Drama,History,Romance",,"Margaret Mitchell,Sidney Howard","Clark Gable,Vivien Leigh,Thomas Mitchell",8.2,"236,641"
The Deer Hunter,3h 3min,"Drama,War",Michael Cimino,"Michael Cimino,Deric Washburn","Robert De Niro,Christopher Walken,John Cazale",8.2,"255,705"
Andrei Rublev,3h 25min,"Biography,Drama,History",Andrei Tarkovsky,"Andrey Konchalovskiy,Andrei Tarkovsky","Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",8.3,"28,476"
Fargo,1h 38min,"Crime,Drama,Thriller",,"Ethan Coen,Joel Coen","William H. Macy,Frances McDormand,Steve Buscemi",8.1,"503,410"
The Sixth Sense,1h 47min,"Drama,Mystery,Thriller",M. Night Shyamalan,,"Bruce Willis,Haley Joel Osment,Toni Collette",8.1,"770,444"
The Thing,1h 49min,"Horror,Mystery,Sci-Fi",John Carpenter,"Bill Lancaster,John W. Campbell Jr.","Kurt Russell,Wilford Brimley,Keith David",8.2,"290,213"
No Country for Old Men,2h 2min,"Crime,Drama,Thriller",,"Joel Coen,Ethan Coen","Tommy Lee Jones,Javier Bardem,Josh Brolin",8.1,"683,207"
The Big Lebowski,1h 57min,"Comedy,Crime",,"Ethan Coen,Joel Coen","Jeff Bridges,John Goodman,Julianne Moore",8.2,"595,994"
Finding Nemo,1h 40min,"Animation,Adventure,Comedy",,"Andrew Stanton,Andrew Stanton","Albert Brooks,Ellen DeGeneres,Alexander Gould",8.1,"776,083"
Eskiya,2h 8min,"Crime,Drama,Thriller",Yavuz Turgul,,"Sener Sen,Ugur Yücel,Sermin Hürmeriç",8.4,"43,894"
Tôkyô monogatari,2h 16min,Drama,Yasujirô Ozu,"Kôgo Noda,Yasujirô Ozu","Chishû Ryû,Chieko Higashiyama,Sô Yamamura",8.2,"32,929"
There Will Be Blood,2h 38min,"Drama,History",Paul Thomas Anderson,"Paul Thomas Anderson,Upton Sinclair","Daniel Day-Lewis,Paul Dano,Ciarán Hinds",8.1,"414,845"
Cool Hand Luke,2h 6min,"Crime,Drama",Stuart Rosenberg,"Donn Pearce,Frank Pierson","Paul Newman,George Kennedy,Strother Martin",8.2,"131,155"
Rebecca,2h 10min,"Drama,Mystery,Romance",Alfred Hitchcock,"Daphne Du Maurier,Robert E. Sherwood","Laurence Olivier,Joan Fontaine,George Sanders",8.2,"96,995"
Idi i smotri,2h 22min,"Drama,War",Elem Klimov,"Ales Adamovich,Ales Adamovich","Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",8.2,"32,427"
Hacksaw Ridge,2h 19min,"Biography,Drama,History",Mel Gibson,"Robert Schenkkan,Andrew Knight","Andrew Garfield,Sam Worthington,Luke Bracey",8.2,"270,828"
La La Land,2h 8min,"Comedy,Drama,Music",Damien Chazelle,,"Ryan Gosling,Emma Stone,Rosemarie DeWitt",8.2,"317,341"
Kill Bill: Vol. 1,1h 51min,"Action,Crime,Thriller",Quentin Tarantino,"Quentin Tarantino,Quentin Tarantino","Uma Thurman,David Carradine,Daryl Hannah",8.1,"811,665"
Rang De Basanti,2h 37min,"Comedy,Drama,History",Rakeysh Omprakash Mehra,"Renzil D'Silva,Prasoon Joshi","Aamir Khan,Soha Ali Khan,Siddharth",8.3,"84,949"
Hoe tem je een draak,1h 38min,"Animation,Adventure,Comedy",,"William Davies,Dean DeBlois","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",8.1,"541,222"
La passion de Jeanne d'Arc,1h 50min,"Biography,Drama,History",Carl Theodor Dreyer,"Joseph Delteil,Carl Theodor Dreyer","Maria Falconetti,Eugene Silvain,André Berley",8.2,"30,762"
Mary and Max,1h 32min,"Animation,Comedy,Drama",Adam Elliot,,"Toni Collette,Philip Seymour Hoffman,Eric Bana",8.1,"133,684"
Gone Girl,2h 29min,"Crime,Drama,Mystery",David Fincher,"Gillian Flynn,Gillian Flynn","Ben Affleck,Rosamund Pike,Neil Patrick Harris",8.1,"665,021"
Shutter Island,2h 18min,"Mystery,Thriller",Martin Scorsese,"Laeta Kalogridis,Dennis Lehane","Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",8.1,"889,438"
Into the Wild,2h 28min,"Adventure,Biography,Drama",Sean Penn,"Sean Penn,Jon Krakauer","Emile Hirsch,Vince Vaughn,Catherine Keener",8.1,"474,529"
Logan,2h 17min,"Action,Drama,Sci-Fi",James Mangold,"James Mangold,Scott Frank","Hugh Jackman,Patrick Stewart,Dafne Keen",8.2,"399,416"
Het gebeurde op 'n avond,1h 45min,"Comedy,Romance",Frank Capra,"Robert Riskin,Samuel Hopkins Adams","Clark Gable,Claudette Colbert,Walter Connolly",8.2,"72,803"
Life of Brian,1h 34min,Comedy,Terry Jones,"Graham Chapman,John Cleese","Graham Chapman,John Cleese,Michael Palin",8.1,"298,046"
Relatos salvajes,2h 2min,"Comedy,Drama,Thriller",Damián Szifron,,"Darío Grandinetti,María Marull,Mónica Villa",8.1,"119,886"
Platoon,2h,"Drama,War",Oliver Stone,,"Charlie Sheen,Tom Berenger,Willem Dafoe",8.1,"319,004"
A Wednesday,1h 44min,"Crime,Drama,Mystery",Neeraj Pandey,"Neeraj Pandey,Neeraj Pandey","Anupam Kher,Naseeruddin Shah,Jimmy Shergill",8.3,"55,273"
Le salaire de la peur,2h 11min,"Adventure,Drama,Thriller",Henri-Georges Clouzot,"Georges Arnaud,Henri-Georges Clouzot","Yves Montand,Charles Vanel,Peter van Eyck",8.2,"39,882"
Hotel Rwanda,2h 1min,"Biography,Drama,History",Terry George,"Keir Pearson,Terry George","Don Cheadle,Sophie Okonedo,Joaquin Phoenix",8.1,"287,765"
Network,2h 1min,Drama,Sidney Lumet,,"Faye Dunaway,William Holden,Peter Finch",8.1,"115,127"
In the Name of the Father,2h 13min,"Biography,Drama",Jim Sheridan,"Gerry Conlon,Terry George","Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",8.1,"123,792"
Rush,2h 3min,"Action,Biography,Drama",Ron Howard,,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",8.1,"351,921"
Stand by Me,1h 29min,"Adventure,Drama",Rob Reiner,"Stephen King,Raynold Gideon","Wil Wheaton,River Phoenix,Corey Feldman",8.1,"300,878"
Persona,1h 25min,"Drama,Thriller",Ingmar Bergman,,"Bibi Andersson,Liv Ullmann,Margaretha Krook",8.1,"71,382"
Ben Hur,3h 32min,"Adventure,Drama,History",William Wyler,"Lew Wallace,Karl Tunberg","Charlton Heston,Jack Hawkins,Stephen Boyd",8.1,"179,221"
The Grand Budapest Hotel,1h 39min,"Adventure,Comedy,Drama",Wes Anderson,"Stefan Zweig,Wes Anderson","Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",8.1,"554,445"
Les quatre cents coups,1h 39min,"Crime,Drama",François Truffaut,"François Truffaut,Marcel Moussy","Jean-Pierre Léaud,Albert Rémy,Claire Maurier",8.1,"78,911"
Salinui chueok,2h 11min,"Crime,Drama,Mystery",Joon-ho Bong,"Joon-ho Bong,Kwang-rim Kim","Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",8.1,"81,119"
12 Years a Slave,2h 14min,"Biography,Drama,History",Steve McQueen,"John Ridley,Solomon Northup","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",8.1,"507,441"
Jurassic Park,2h 7min,"Adventure,Sci-Fi,Thriller",Steven Spielberg,"Michael Crichton,Michael Crichton","Sam Neill,Laura Dern,Jeff Goldblum",8.1,"689,362"
Mad Max: Fury Road,2h,"Action,Adventure,Sci-Fi",George Miller,"George Miller,Brendan McCarthy","Tom Hardy,Charlize Theron,Nicholas Hoult",8.1,"667,682"
Million Dollar Baby,2h 12min,"Drama,Sport",Clint Eastwood,"Paul Haggis,F.X. Toole","Hilary Swank,Clint Eastwood,Morgan Freeman",8.1,"531,485"
Spotlight,2h 8min,"Crime,Drama,History",Tom McCarthy,"Josh Singer,Tom McCarthy","Mark Ruffalo,Michael Keaton,Rachel McAdams",8.1,"291,159"
Stalker,2h 42min,"Drama,Sci-Fi",Andrei Tarkovsky,"Arkadiy Strugatskiy,Boris Strugatskiy","Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",8.1,"79,804"
Butch Cassidy and the Sundance Kid,1h 50min,"Biography,Crime,Drama",George Roy Hill,,"Paul Newman,Robert Redford,Katharine Ross",8.1,"167,485"
Amores perros,2h 34min,"Drama,Thriller",Alejandro González Iñárritu,,"Emilio Echevarría,Gael García Bernal,Goya Toledo",8.1,"188,663"
The Truman Show,1h 43min,"Comedy,Drama,Sci-Fi",Peter Weir,,"Jim Carrey,Ed Harris,Laura Linney",8.1,"745,376"
